order_number,order_date,product_code,producto_id,producto_nombre,categoria,quantity,price,sales,country,country_norm,region,subregion,cliente_id,nombre,ciudad
10361,2004-12-17,S10_1678,1,S10_1678,Motorcycles,20,72.55,1451.0,Australia,Australia,,,64,Minea Hautala,Kangasala
10375,2005-02-03,S10_1678,1,S10_1678,Motorcycles,21,34.91,733.11,France,France,,,60,Silvia Márquez,Barcelona
10388,2005-03-03,S10_1678,1,S10_1678,Motorcycles,42,76.36,3207.12,USA,United States,,,21,Pamela Colunga,Río Florido
10403,2005-04-08,S10_1678,1,S10_1678,Motorcycles,24,100.0,2434.56,UK,United Kingdom,,,33,Leonard Barbier,Rüeggisberg
10417,2005-05-13,S10_1678,1,S10_1678,Motorcycles,66,100.0,7516.08,Spain,Spain,,,76,Christian Alonso,Ferrol
10103,2003-01-29,S10_1949,2,S10_1949,Motorcycles,26,100.0,5404.62,Norway,Norway,,,58,Maeva Martin,Cochrane
10112,2003-03-24,S10_1949,2,S10_1949,Motorcycles,29,100.0,7209.11,Sweden,Sweden,,,22,Magdalena Pascual,Sevilla
10126,2003-05-28,S10_1949,2,S10_1949,Motorcycles,38,100.0,7329.06,Spain,Spain,,,89,Deniz Türkyılmaz,Manisa
10140,2003-07-24,S10_1949,2,S10_1949,Motorcycles,37,100.0,7374.1,USA,United States,,,49,Hudson Morris,Timaru
10150,2003-09-19,S10_1949,2,S10_1949,Motorcycles,45,100.0,10993.5,Singapore,Singapore,Asia,,91,Helen Marie,Granges-Paccot
10163,2003-10-20,S10_1949,2,S10_1949,Motorcycles,21,100.0,4860.24,USA,United States,,,59,Demid Lisickiy,Yalta
10174,2003-11-06,S10_1949,2,S10_1949,Motorcycles,34,100.0,8014.82,Australia,Australia,,,42,Mladen Jeremić,Jagodina
10183,2003-11-13,S10_1949,2,S10_1949,Motorcycles,23,100.0,5372.57,USA,United States,,,92,Nelly Chavarría,San Pedro Comitancillo
10194,2003-11-25,S10_1949,2,S10_1949,Motorcycles,42,100.0,7290.36,France,France,,,60,Silvia Márquez,Barcelona
10206,2003-12-05,S10_1949,2,S10_1949,Motorcycles,47,100.0,9064.89,Canada,Canada,,,80,Frederick Steward,Leicester
10215,2004-01-29,S10_1949,2,S10_1949,Motorcycles,35,100.0,6075.3,USA,United States,,,15,Rasmus Christensen,Randers Nø
10228,2004-03-10,S10_1949,2,S10_1949,Motorcycles,29,100.0,6463.23,USA,United States,,,62,Agathe Leroux,Bordeaux
10245,2004-05-04,S10_1949,2,S10_1949,Motorcycles,34,100.0,6120.34,USA,United States,,,62,Agathe Leroux,Bordeaux
10258,2004-06-15,S10_1949,2,S10_1949,Motorcycles,32,100.0,7680.64,Japan,Japan,Asia,,47,Giovana Moreira,Americana
10270,2004-07-19,S10_1949,2,S10_1949,Motorcycles,21,100.0,4905.39,Australia,Australia,,,62,Agathe Leroux,Bordeaux
10280,2004-08-17,S10_1949,2,S10_1949,Motorcycles,34,100.0,8014.82,Italy,Italy,,,51,Alexander Gagné,Woodstock
10291,2004-09-08,S10_1949,2,S10_1949,Motorcycles,37,100.0,7136.19,Sweden,Sweden,,,55,Alex Williams,Ballina
10304,2004-10-11,S10_1949,2,S10_1949,Motorcycles,47,100.0,10172.7,France,France,,,64,Minea Hautala,Kangasala
10312,2004-10-21,S10_1949,2,S10_1949,Motorcycles,48,100.0,11623.7,USA,United States,,,3,Noélie Bourgeois,Lille
10322,2004-11-04,S10_1949,2,S10_1949,Motorcycles,40,100.0,6000.4,USA,United States,,,51,Alexander Gagné,Woodstock
10333,2004-11-18,S10_1949,2,S10_1949,Motorcycles,26,100.0,3003.0,USA,United States,,,7,Elio Giraud,Colombes
10347,2004-11-29,S10_1949,2,S10_1949,Motorcycles,30,100.0,3944.7,Australia,Australia,,,21,Pamela Colunga,Río Florido
10357,2004-12-10,S10_1949,2,S10_1949,Motorcycles,32,100.0,5691.84,USA,United States,,,73,Deveny Hartsuiker,Sint Agatha
10369,2005-01-20,S10_1949,2,S10_1949,Motorcycles,41,100.0,4514.92,USA,United States,,,39,Noah Mortensen,Allinge
10381,2005-02-17,S10_1949,2,S10_1949,Motorcycles,36,100.0,8254.8,USA,United States,,,18,Oya Başoğlu,İstanbul
10391,2005-03-09,S10_1949,2,S10_1949,Motorcycles,24,100.0,2416.56,Australia,Australia,,,4,Eino Tuomi,Multia
10411,2005-05-01,S10_1949,2,S10_1949,Motorcycles,23,100.0,4140.23,Canada,Canada,,,89,Deniz Türkyılmaz,Manisa
10424,2005-05-31,S10_1949,2,S10_1949,Motorcycles,50,100.0,12001.0,Spain,Spain,,,60,Silvia Márquez,Barcelona
10107,2003-02-24,S10_2016,3,S10_2016,Motorcycles,39,99.91,3896.49,USA,United States,,,14,Yasemin Akgül,Amasya
10120,2003-04-29,S10_2016,3,S10_2016,Motorcycles,29,96.34,2793.86,Australia,Australia,,,9,Rosa Calderón,San Luis Soyatlán
10134,2003-07-01,S10_2016,3,S10_2016,Motorcycles,27,100.0,3307.77,France,France,,,90,Ana Luisa Valverde,La Higuera
10145,2003-08-25,S10_2016,3,S10_2016,Motorcycles,37,100.0,5192.95,USA,United States,,,53,Vera Teodosić,Svilajnac
10159,2003-10-10,S10_2016,3,S10_2016,Motorcycles,37,100.0,5016.83,USA,United States,,,2,Florent Vidal,Caen
10168,2003-10-28,S10_2016,3,S10_2016,Motorcycles,27,100.0,3660.93,USA,United States,,,84,Georg Hölscher,Readtsjerk
10180,2003-11-11,S10_2016,3,S10_2016,Motorcycles,42,100.0,4695.6,France,France,,,92,Nelly Chavarría,San Pedro Comitancillo
10188,2003-11-18,S10_2016,3,S10_2016,Motorcycles,38,96.34,3660.92,Norway,Norway,,,60,Silvia Márquez,Barcelona
10201,2003-12-01,S10_2016,3,S10_2016,Motorcycles,24,100.0,3025.92,USA,United States,,,71,Emil Halla,Ilmajoki
10210,2004-01-12,S10_2016,3,S10_2016,Motorcycles,23,100.0,3009.09,Japan,Japan,Asia,,44,Nella Koskinen,Hamina
10223,2004-02-20,S10_2016,3,S10_2016,Motorcycles,47,100.0,5422.39,Australia,Australia,,,8,Eduardo Treviño,Ozuluama
10236,2004-04-03,S10_2016,3,S10_2016,Motorcycles,22,100.0,2852.08,USA,United States,,,47,Giovana Moreira,Americana
10251,2004-05-18,S10_2016,3,S10_2016,Motorcycles,44,100.0,5756.52,USA,United States,,,35,Lada Trajković,Mionica
10263,2004-06-28,S10_2016,3,S10_2016,Motorcycles,40,100.0,4472.0,USA,United States,,,78,Hayley Li,Auckland
10275,2004-07-23,S10_2016,3,S10_2016,Motorcycles,22,100.0,2904.44,France,France,,,81,Priscilla Caldwell,Scottsdale
10285,2004-08-27,S10_2016,3,S10_2016,Motorcycles,47,100.0,6484.59,USA,United States,,,36,Cody Henderson,Athlone
10298,2004-09-27,S10_2016,3,S10_2016,Motorcycles,39,96.34,3757.26,France,France,,,50,Ivana Teixeira,Birigüi
10308,2004-10-15,S10_2016,3,S10_2016,Motorcycles,34,100.0,4043.96,USA,United States,,,4,Eino Tuomi,Multia
10318,2004-11-02,S10_2016,3,S10_2016,Motorcycles,45,100.0,5566.5,USA,United States,,,2,Florent Vidal,Caen
10329,2004-11-15,S10_2016,3,S10_2016,Motorcycles,20,100.0,3176.0,USA,United States,,,6,Fatma Beşerler,Iğdır
10339,2004-11-23,S10_2016,3,S10_2016,Motorcycles,40,68.92,2756.8,Japan,Japan,Asia,,54,Leticia Rolland,Zermatt
10361,2004-12-17,S10_2016,3,S10_2016,Motorcycles,26,51.15,1329.9,Australia,Australia,,,4,Eino Tuomi,Multia
10374,2005-02-02,S10_2016,3,S10_2016,Motorcycles,39,100.0,5288.01,Australia,Australia,,,54,Leticia Rolland,Zermatt
10388,2005-03-03,S10_2016,3,S10_2016,Motorcycles,50,44.51,2225.5,USA,United States,,,93,Felix Chow,Hampstead
10402,2005-04-07,S10_2016,3,S10_2016,Motorcycles,45,100.0,5833.8,France,France,,,63,Karl-Dieter Klaus,Sinsheim
10417,2005-05-13,S10_2016,3,S10_2016,Motorcycles,45,100.0,5887.35,Spain,Spain,,,18,Oya Başoğlu,İstanbul
10107,2003-02-24,S10_4698,4,S10_4698,Motorcycles,27,100.0,6065.55,USA,United States,,,90,Ana Luisa Valverde,La Higuera
10120,2003-04-29,S10_4698,4,S10_4698,Motorcycles,46,100.0,9264.86,Australia,Australia,,,44,Nella Koskinen,Hamina
10134,2003-07-01,S10_4698,4,S10_4698,Motorcycles,31,100.0,7023.98,France,France,,,34,Sarah Chu,Tecumseh
10145,2003-08-25,S10_4698,4,S10_4698,Motorcycles,33,100.0,5176.38,USA,United States,,,74,Benjamin Jimenez,Wells
10159,2003-10-10,S10_4698,4,S10_4698,Motorcycles,22,100.0,4132.7,USA,United States,,,62,Agathe Leroux,Bordeaux
10168,2003-10-28,S10_4698,4,S10_4698,Motorcycles,20,100.0,4183.0,USA,United States,,,100,Mara Häußler,Meßstetten
10180,2003-11-11,S10_4698,4,S10_4698,Motorcycles,41,100.0,8892.9,France,France,,,14,Yasemin Akgül,Amasya
10188,2003-11-18,S10_4698,4,S10_4698,Motorcycles,45,100.0,8714.7,Norway,Norway,,,95,Malik Margaret,Fountainbleu
10201,2003-12-01,S10_4698,4,S10_4698,Motorcycles,49,100.0,8065.89,USA,United States,,,48,Aaron Clement,Saint-Pierre
10210,2004-01-12,S10_4698,4,S10_4698,Motorcycles,34,100.0,6123.4,Japan,Japan,Asia,,15,Rasmus Christensen,Randers Nø
10223,2004-02-20,S10_4698,4,S10_4698,Motorcycles,49,100.0,9774.03,Australia,Australia,,,72,Daniel Denys,Selkirk
10237,2004-04-05,S10_4698,4,S10_4698,Motorcycles,39,100.0,7023.9,USA,United States,,,78,Hayley Li,Auckland
10251,2004-05-18,S10_4698,4,S10_4698,Motorcycles,43,100.0,7078.23,USA,United States,,,87,Tomás Solorzano,Catalinas (Francisco Villa)
10263,2004-06-28,S10_4698,4,S10_4698,Motorcycles,41,100.0,8336.94,USA,United States,,,62,Agathe Leroux,Bordeaux
10275,2004-07-23,S10_4698,4,S10_4698,Motorcycles,36,100.0,6901.92,France,France,,,40,Barb Parker,Plymouth
10285,2004-08-27,S10_4698,4,S10_4698,Motorcycles,27,100.0,5438.07,USA,United States,,,85,Francisco Hernández,Fuenlabrada
10299,2004-09-30,S10_4698,4,S10_4698,Motorcycles,29,100.0,6683.34,Finland,Finland,,,80,Frederick Steward,Leicester
10308,2004-10-15,S10_4698,4,S10_4698,Motorcycles,20,100.0,4570.4,USA,United States,,,82,بنیامین حیدری,رشت
10318,2004-11-02,S10_4698,4,S10_4698,Motorcycles,37,100.0,7667.14,USA,United States,,,53,Vera Teodosić,Svilajnac
10329,2004-11-15,S10_4698,4,S10_4698,Motorcycles,26,100.0,5868.2,USA,United States,,,24,Remziye Stabel,Zweins
10339,2004-11-23,S10_4698,4,S10_4698,Motorcycles,39,76.67,2990.13,Japan,Japan,Asia,,26,Miro Niemela,Nastola
10362,2005-01-05,S10_4698,4,S10_4698,Motorcycles,22,100.0,3664.1,USA,United States,,,89,Deniz Türkyılmaz,Manisa
10374,2005-02-02,S10_4698,4,S10_4698,Motorcycles,22,100.0,3834.38,Australia,Australia,,,60,Silvia Márquez,Barcelona
10388,2005-03-03,S10_4698,4,S10_4698,Motorcycles,21,86.77,1822.17,USA,United States,,,41,Aurelio Rousseau,Haute-Sorne
10403,2005-04-08,S10_4698,4,S10_4698,Motorcycles,66,100.0,11886.6,UK,United Kingdom,,,29,Bella Stepanenko,Slov'yansk
10417,2005-05-13,S10_4698,4,S10_4698,Motorcycles,56,100.0,9218.16,Spain,Spain,,,15,Rasmus Christensen,Randers Nø
10105,2003-02-11,S10_4757,5,S10_4757,Motorcycles,50,100.0,7208.0,Denmark,Denmark,,,45,Anny Skjelbred,Snurråsen
10119,2003-04-28,S10_4757,5,S10_4757,Motorcycles,46,100.0,5004.8,Austria,Austria,,,65,Francis Armstrong,Tamworth
10129,2003-06-12,S10_4757,5,S10_4757,Motorcycles,33,100.0,4398.24,UK,United Kingdom,,,89,Deniz Türkyılmaz,Manisa
10143,2003-08-10,S10_4757,5,S10_4757,Motorcycles,49,100.0,5597.76,USA,United States,,,71,Emil Halla,Ilmajoki
10155,2003-10-06,S10_4757,5,S10_4757,Motorcycles,32,100.0,4526.08,Finland,Finland,,,9,Rosa Calderón,San Luis Soyatlán
10167,2003-10-23,S10_4757,5,S10_4757,Motorcycles,44,100.0,5924.16,Sweden,Sweden,,,88,Julio Murray,Shepparton
10178,2003-11-08,S10_4757,5,S10_4757,Motorcycles,24,100.0,3492.48,France,France,,,1,Jenny Bourgeois,Miège
10186,2003-11-14,S10_4757,5,S10_4757,Motorcycles,26,100.0,3854.24,UK,United Kingdom,,,8,Eduardo Treviño,Ozuluama
10197,2003-11-26,S10_4757,5,S10_4757,Motorcycles,45,100.0,5324.4,Spain,Spain,,,88,Julio Murray,Shepparton
10209,2004-01-09,S10_4757,5,S10_4757,Motorcycles,39,100.0,5197.92,USA,United States,,,63,Karl-Dieter Klaus,Sinsheim
10222,2004-02-19,S10_4757,5,S10_4757,Motorcycles,49,100.0,5997.6,USA,United States,,,11,Ryder Lewis,Blenheim
10248,2004-05-07,S10_4757,5,S10_4757,Motorcycles,20,100.0,2910.4,USA,United States,,,81,Priscilla Caldwell,Scottsdale
10261,2004-06-17,S10_4757,5,S10_4757,Motorcycles,27,100.0,3378.24,Canada,Canada,,,8,Eduardo Treviño,Ozuluama
10273,2004-07-21,S10_4757,5,S10_4757,Motorcycles,30,100.0,3508.8,Belgium,Belgium,,,35,Lada Trajković,Mionica
10283,2004-08-20,S10_4757,5,S10_4757,Motorcycles,25,100.0,2992.0,Canada,Canada,,,35,Lada Trajković,Mionica
10295,2004-09-10,S10_4757,5,S10_4757,Motorcycles,24,100.0,3427.2,USA,United States,,,33,Leonard Barbier,Rüeggisberg
10307,2004-10-14,S10_4757,5,S10_4757,Motorcycles,22,100.0,2692.8,USA,United States,,,5,Maya Howell,Leicester
10316,2004-11-01,S10_4757,5,S10_4757,Motorcycles,33,100.0,4128.96,UK,United Kingdom,,,41,Aurelio Rousseau,Haute-Sorne
10325,2004-11-05,S10_4757,5,S10_4757,Motorcycles,47,64.93,3051.71,Norway,Norway,,,28,Soham Ellis,Dublin
10337,2004-11-21,S10_4757,5,S10_4757,Motorcycles,25,48.05,1201.25,USA,United States,,,7,Elio Giraud,Colombes
10350,2004-12-02,S10_4757,5,S10_4757,Motorcycles,26,75.47,1962.22,Spain,Spain,,,73,Deveny Hartsuiker,Sint Agatha
10359,2004-12-15,S10_4757,5,S10_4757,Motorcycles,48,54.68,2624.64,France,France,,,72,Daniel Denys,Selkirk
10373,2005-01-31,S10_4757,5,S10_4757,Motorcycles,39,100.0,4046.25,Finland,Finland,,,12,Cassandra Tronstad,Havøysund
10384,2005-02-23,S10_4757,5,S10_4757,Motorcycles,34,100.0,4846.7,USA,United States,,,34,Sarah Chu,Tecumseh
10395,2005-03-17,S10_4757,5,S10_4757,Motorcycles,32,100.0,3370.56,France,France,,,33,Leonard Barbier,Rüeggisberg
10400,2005-04-01,S10_4757,5,S10_4757,Motorcycles,64,100.0,9661.44,USA,United States,,,48,Aaron Clement,Saint-Pierre
10414,2005-05-06,S10_4757,5,S10_4757,Motorcycles,19,100.0,2764.88,USA,United States,,,23,Caroline Sørensen,Sundby/Erslev
10103,2003-01-29,S10_4962,6,S10_4962,Motorcycles,42,100.0,5398.26,Norway,Norway,,,62,Agathe Leroux,Bordeaux
10114,2003-04-01,S10_4962,6,S10_4962,Motorcycles,31,100.0,4305.28,France,France,,,88,Julio Murray,Shepparton
10126,2003-05-28,S10_4962,6,S10_4962,Motorcycles,22,100.0,3347.74,Spain,Spain,,,37,Anton Vasić,Lajkovac
10140,2003-07-24,S10_4962,6,S10_4962,Motorcycles,26,100.0,3188.12,USA,United States,,,99,Darren Phillips,Longford
10150,2003-09-19,S10_4962,6,S10_4962,Motorcycles,20,100.0,3191.2,Singapore,Singapore,Asia,,44,Nella Koskinen,Hamina
10164,2003-10-21,S10_4962,6,S10_4962,Motorcycles,21,100.0,3536.82,Austria,Austria,,,86,Britney Caldwell,Naas
10175,2003-11-06,S10_4962,6,S10_4962,Motorcycles,33,100.0,5362.83,UK,United Kingdom,,,91,Helen Marie,Granges-Paccot
10183,2003-11-13,S10_4962,6,S10_4962,Motorcycles,28,100.0,3433.36,USA,United States,,,35,Lada Trajković,Mionica
10194,2003-11-25,S10_4962,6,S10_4962,Motorcycles,26,100.0,4263.74,France,France,,,65,Francis Armstrong,Tamworth
10207,2003-12-09,S10_4962,6,S10_4962,Motorcycles,31,100.0,4076.19,USA,United States,,,99,Darren Phillips,Longford
10217,2004-02-04,S10_4962,6,S10_4962,Motorcycles,48,100.0,7020.48,Singapore,Singapore,Asia,,47,Giovana Moreira,Americana
10229,2004-03-11,S10_4962,6,S10_4962,Motorcycles,50,100.0,6426.5,USA,United States,,,78,Hayley Li,Auckland
10245,2004-05-04,S10_4962,6,S10_4962,Motorcycles,28,100.0,4591.72,USA,United States,,,3,Noélie Bourgeois,Lille
10259,2004-06-15,S10_4962,6,S10_4962,Motorcycles,26,100.0,4033.38,Singapore,Singapore,Asia,,1,Jenny Bourgeois,Miège
10270,2004-07-19,S10_4962,6,S10_4962,Motorcycles,32,100.0,4302.08,Australia,Australia,,,5,Maya Howell,Leicester
10281,2004-08-19,S10_4962,6,S10_4962,Motorcycles,44,100.0,7020.64,USA,United States,,,90,Ana Luisa Valverde,La Higuera
10291,2004-09-08,S10_4962,6,S10_4962,Motorcycles,30,100.0,3855.9,Sweden,Sweden,,,14,Yasemin Akgül,Amasya
10305,2004-10-13,S10_4962,6,S10_4962,Motorcycles,38,100.0,6680.78,USA,United States,,,27,Nelson Murphy,Stevenage
10313,2004-10-22,S10_4962,6,S10_4962,Motorcycles,40,100.0,6678.0,Canada,Canada,,,9,Rosa Calderón,San Luis Soyatlán
10322,2004-11-04,S10_4962,6,S10_4962,Motorcycles,46,61.99,2851.54,USA,United States,,,79,Willi Lefevre,Prangins
10334,2004-11-19,S10_4962,6,S10_4962,Motorcycles,26,100.0,3188.12,Sweden,Sweden,,,15,Rasmus Christensen,Randers Nø
10347,2004-11-29,S10_4962,6,S10_4962,Motorcycles,27,100.0,4428.0,Australia,Australia,,,90,Ana Luisa Valverde,La Higuera
10357,2004-12-10,S10_4962,6,S10_4962,Motorcycles,43,100.0,5780.92,USA,United States,,,42,Mladen Jeremić,Jagodina
10370,2005-01-20,S10_4962,6,S10_4962,Motorcycles,35,65.63,2297.05,Australia,Australia,,,77,Aashish Uchil,Naihati
10381,2005-02-17,S10_4962,6,S10_4962,Motorcycles,37,100.0,6231.54,USA,United States,,,51,Alexander Gagné,Woodstock
10391,2005-03-09,S10_4962,6,S10_4962,Motorcycles,37,46.9,1735.3,Australia,Australia,,,63,Karl-Dieter Klaus,Sinsheim
10411,2005-05-01,S10_4962,6,S10_4962,Motorcycles,27,100.0,4427.73,Canada,Canada,,,96,Arnim Lehnen,Herrieden
10425,2005-05-31,S10_4962,6,S10_4962,Motorcycles,38,100.0,5894.94,France,France,,,52,Radoslav Blagojević,Kikinda
10108,2003-03-03,S12_1099,7,S12_1099,Classic Cars,33,100.0,5265.15,Philippines,Philippines,,,96,Arnim Lehnen,Herrieden
10122,2003-05-08,S12_1099,7,S12_1099,Classic Cars,42,100.0,7599.9,France,France,,,4,Eino Tuomi,Multia
10135,2003-07-02,S12_1099,7,S12_1099,Classic Cars,42,100.0,8008.56,USA,United States,,,94,حسین نكو نظر,ورامین
10147,2003-09-05,S12_1099,7,S12_1099,Classic Cars,48,100.0,9245.76,USA,United States,,,23,Caroline Sørensen,Sundby/Erslev
10159,2003-10-10,S12_1099,7,S12_1099,Classic Cars,41,100.0,8296.35,USA,United States,,,15,Rasmus Christensen,Randers Nø
10169,2003-11-04,S12_1099,7,S12_1099,Classic Cars,30,100.0,5019.9,Australia,Australia,,,43,Lily Clark,Port Elgin
10181,2003-11-12,S12_1099,7,S12_1099,Classic Cars,27,100.0,5411.07,Norway,Norway,,,29,Bella Stepanenko,Slov'yansk
10191,2003-11-20,S12_1099,7,S12_1099,Classic Cars,21,100.0,3840.9,Germany,Germany,,,36,Cody Henderson,Athlone
10203,2003-12-02,S12_1099,7,S12_1099,Classic Cars,20,100.0,3930.4,Spain,Spain,,,13,Kurt Craig,Portarlington
10211,2004-01-15,S12_1099,7,S12_1099,Classic Cars,41,100.0,7498.9,France,France,,,32,May Wie,Andselv
10225,2004-02-22,S12_1099,7,S12_1099,Classic Cars,27,100.0,4517.91,Switzerland,Switzerland,,,71,Emil Halla,Ilmajoki
10238,2004-04-09,S12_1099,7,S12_1099,Classic Cars,28,100.0,5774.72,Denmark,Denmark,,,59,Demid Lisickiy,Yalta
10253,2004-06-01,S12_1099,7,S12_1099,Classic Cars,24,100.0,3922.56,UK,United Kingdom,,,86,Britney Caldwell,Naas
10266,2004-07-06,S12_1099,7,S12_1099,Classic Cars,44,100.0,9160.36,Italy,Italy,,,28,Soham Ellis,Dublin
10276,2004-08-02,S12_1099,7,S12_1099,Classic Cars,50,100.0,9631.0,USA,United States,,,66,Olive Martin,Christchurch
10287,2004-08-30,S12_1099,7,S12_1099,Classic Cars,21,100.0,3432.24,Switzerland,Switzerland,,,42,Mladen Jeremić,Jagodina
10300,2003-10-04,S12_1099,7,S12_1099,Classic Cars,33,100.0,5521.89,Germany,Germany,,,45,Anny Skjelbred,Snurråsen
10310,2004-10-16,S12_1099,7,S12_1099,Classic Cars,33,100.0,6934.62,Germany,Germany,,,62,Agathe Leroux,Bordeaux
10320,2004-11-03,S12_1099,7,S12_1099,Classic Cars,31,100.0,6876.11,Sweden,Sweden,,,57,Sofia Edwards,Invercargill
10329,2004-11-15,S12_1099,7,S12_1099,Classic Cars,41,71.47,2930.27,USA,United States,,,6,Fatma Beşerler,Iğdır
10341,2004-11-24,S12_1099,7,S12_1099,Classic Cars,45,79.65,3584.25,Austria,Austria,,,28,Soham Ellis,Dublin
10363,2005-01-06,S12_1099,7,S12_1099,Classic Cars,33,85.39,2817.87,Finland,Finland,,,28,Soham Ellis,Dublin
10375,2005-02-03,S12_1099,7,S12_1099,Classic Cars,45,76.0,3420.0,France,France,,,44,Nella Koskinen,Hamina
10389,2005-03-03,S12_1099,7,S12_1099,Classic Cars,26,99.04,2575.04,Sweden,Sweden,,,84,Georg Hölscher,Readtsjerk
10419,2005-05-17,S12_1099,7,S12_1099,Classic Cars,12,100.0,1961.28,Austria,Austria,,,30,Nemira Danchuk,Voznesenivka
10105,2003-02-11,S12_1108,8,S12_1108,Classic Cars,41,100.0,8690.36,Denmark,Denmark,,,62,Agathe Leroux,Bordeaux
10117,2003-04-16,S12_1108,8,S12_1108,Classic Cars,33,100.0,6034.38,Singapore,Singapore,Asia,,75,Bror Svendsen,Sande
10127,2003-06-03,S12_1108,8,S12_1108,Classic Cars,46,100.0,11279.2,USA,United States,,,92,Nelly Chavarría,San Pedro Comitancillo
10142,2003-08-08,S12_1108,8,S12_1108,Classic Cars,33,100.0,8023.29,USA,United States,,,89,Deniz Türkyılmaz,Manisa
10153,2003-09-28,S12_1108,8,S12_1108,Classic Cars,20,100.0,4904.0,Spain,Spain,,,62,Agathe Leroux,Bordeaux
10165,2003-10-22,S12_1108,8,S12_1108,Classic Cars,44,100.0,8594.52,Singapore,Singapore,Asia,,97,درسا مرادی,بیرجند
10176,2003-11-06,S12_1108,8,S12_1108,Classic Cars,33,100.0,7474.5,Italy,Italy,,,1,Jenny Bourgeois,Miège
10185,2003-11-14,S12_1108,8,S12_1108,Classic Cars,21,100.0,3883.74,USA,United States,,,27,Nelson Murphy,Stevenage
10196,2003-11-26,S12_1108,8,S12_1108,Classic Cars,47,100.0,8887.7,USA,United States,,,62,Agathe Leroux,Bordeaux
10208,2004-01-02,S12_1108,8,S12_1108,Classic Cars,46,100.0,8602.92,France,France,,,77,Aashish Uchil,Naihati
10220,2004-02-12,S12_1108,8,S12_1108,Classic Cars,32,100.0,7181.44,Ireland,Ireland,,,3,Noélie Bourgeois,Lille
10231,2004-03-19,S12_1108,8,S12_1108,Classic Cars,42,100.0,8378.58,Spain,Spain,,,70,Aiden Griffin,Loughrea
10247,2004-05-05,S12_1108,8,S12_1108,Classic Cars,44,100.0,10606.2,Finland,Finland,,,72,Daniel Denys,Selkirk
10272,2004-07-20,S12_1108,8,S12_1108,Classic Cars,35,100.0,5818.4,USA,United States,,,27,Nelson Murphy,Stevenage
10282,2004-08-20,S12_1108,8,S12_1108,Classic Cars,41,100.0,7071.27,USA,United States,,,9,Rosa Calderón,San Luis Soyatlán
10293,2004-09-09,S12_1108,8,S12_1108,Classic Cars,46,100.0,8411.56,Italy,Italy,,,62,Agathe Leroux,Bordeaux
